,Age,Attrition,BusinessTravel,DistanceFromHome,Education,EmployeeCount,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender_Female,Gender_Male
0,51,0,1,6,2,1,1,1,5.1178014079973275,1.0,Y,11,8,0,1.0,6,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,31,1,2,10,1,1,2,1,4.622110360361219,0.0,Y,23,8,1,6.0,3,5,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2,32,0,2,17,4,1,3,4,5.286186916941038,1.0,Y,15,8,3,5.0,2,5,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3,38,0,0,2,5,1,4,3,4.920175522010023,3.0,Y,11,8,3,13.0,5,8,7,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4,32,0,1,10,1,1,5,1,4.369586890736344,4.0,Y,12,8,2,9.0,2,6,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
5,46,0,1,8,3,1,6,4,4.6097011023793995,3.0,Y,13,8,0,28.0,5,7,7,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
6,28,1,1,11,2,1,7,2,4.764400322956388,2.0,Y,20,8,1,5.0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
7,29,0,1,18,3,1,8,2,4.49734438101758,2.0,Y,22,8,3,10.0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
8,31,0,1,1,3,1,9,3,4.310480891462675,0.0,Y,21,8,0,10.0,2,9,7,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
9,25,0,0,7,4,1,10,4,5.1291741029677675,1.0,Y,13,8,1,6.0,2,6,1,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
10,45,0,1,17,2,1,11,2,4.902601130666532,0.0,Y,13,8,2,21.0,2,20,4,10,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
11,36,0,1,28,1,1,12,1,4.528531060635411,0.0,Y,12,8,2,16.0,2,15,10,11,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
12,55,0,1,14,4,1,13,1,4.743352951409555,0.0,Y,17,8,0,37.0,2,36,4,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
13,47,1,0,1,1,1,14,1,4.760573253944394,1.0,Y,11,8,2,10.0,4,10,9,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
14,28,0,1,1,3,1,15,1,4.413634997198556,1.0,Y,14,8,0,5.0,2,5,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
15,37,0,1,1,3,1,16,2,4.728028954420519,4.0,Y,11,8,0,7.0,2,5,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
16,21,0,1,3,2,1,17,1,4.624591459126848,1.0,Y,12,8,3,3.0,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
17,37,0,0,1,3,1,18,2,4.615634468877416,2.0,Y,13,8,1,15.0,2,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
18,35,0,1,7,4,1,19,1,4.3870337012823635,7.0,Y,16,8,0,10.0,5,7,6,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
19,38,0,1,8,3,1,20,1,4.83695673705955,1.0,Y,11,8,1,8.0,5,8,7,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
20,26,0,2,1,4,1,21,2,5.018991594705612,1.0,Y,18,8,0,6.0,3,6,1,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
21,50,0,1,8,4,1,22,1,4.985291718592888,3.0,Y,23,8,0,28.0,2,10,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
22,53,0,1,11,4,1,23,2,4.332034277027518,3.0,Y,11,8,0,21.0,2,5,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
23,42,0,1,4,4,1,24,1,4.950656882504511,1.0,Y,14,8,0,0.0,4,20,11,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
24,29,0,2,16,4,1,25,1,4.813781078174083,1.0,Y,11,8,1,10.0,2,10,0,9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
25,55,0,1,1,4,1,26,1,4.832445041174111,3.0,Y,11,8,0,12.0,2,10,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
26,26,0,2,9,3,1,27,1,5.211947743679434,1.0,Y,22,8,0,5.0,3,5,3,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
27,37,0,1,5,1,1,28,1,4.432167269442588,1.0,Y,11,8,0,17.0,2,17,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
28,44,1,2,1,2,1,29,2,5.01422642938923,3.0,Y,14,8,1,19.0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
29,38,0,1,2,3,1,30,1,4.648164778574001,9.0,Y,12,8,0,10.0,3,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
30,26,1,1,4,3,1,31,3,4.835944100093848,2.0,Y,11,8,0,5.0,5,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
31,28,0,1,7,3,1,32,1,4.983941858983888,1.0,Y,13,8,0,5.0,6,5,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
